epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.24512,0,45.7035,0,0,0,0,0,0,29.623,0,2.222e-05,2.222e-05,2.222e-05
2,8.27993,0,45.4746,0,0,0,0,0,0,29.6328,0,5.44501e-05,5.44501e-05,5.44501e-05
3,12.2186,0,44.9031,0,0,0,0,0,0,29.634,0,8.53604e-05,8.53604e-05,8.53604e-05
4,16.1185,0,44.5103,0,0,0,0,0,0,29.6288,0,0.000114951,0.000114951,0.000114951
5,20.0417,0,44.0746,0,0,0,0,0,0,29.616,0,0.000143221,0.000143221,0.000143221
6,23.915,0,43.6026,0,0,0,0,0,0,29.5624,0,0.000170172,0.000170172,0.000170172
7,27.711,0,42.9885,0,0,0,0,0,0,29.5326,0,0.000195803,0.000195803,0.000195803
8,31.4132,0,42.4594,0,0,0,0,0,0,29.495,0,0.000220114,0.000220114,0.000220114
9,35.305,0,41.9921,0,0,0,0,0,0,29.4587,0,0.000243105,0.000243105,0.000243105
10,39.1964,0,41.5757,0,0,0,0,0,0,29.404,0,0.000264776,0.000264776,0.000264776
11,43.0997,0,41.195,0,0,0,0,0,0,29.3322,0,0.000285127,0.000285127,0.000285127
12,47.0186,0,40.9194,0,0,0,0,0,0,29.2429,0,0.000304158,0.000304158,0.000304158
13,50.9095,0,40.67,0,0,0,0,0,0,29.1562,0,0.00032187,0.00032187,0.00032187
14,54.8911,0,40.2618,0,0,0,0,0,0,29.0511,0,0.000338262,0.000338262,0.000338262
15,58.6576,0,39.9525,0,0,0,0,0,0,29.0511,0,0.000353334,0.000353334,0.000353334
16,62.4558,0,39.6551,0,0,0,0,0,0,28.9316,0,0.000367086,0.000367086,0.000367086
17,66.5413,0,39.3051,0,0,0,0,0,0,29.044,0,0.000379518,0.000379518,0.000379518
18,70.6223,0,38.9123,0,0,0,0,0,0,29.044,0,0.00039063,0.00039063,0.00039063
19,74.7021,0,38.5706,0,0,0,0,0,0,28.9244,0,0.000400422,0.000400422,0.000400422
20,78.7732,0,38.4935,0,0,0,0,0,0,28.5237,0,0.000408895,0.000408895,0.000408895
21,82.8765,0,37.8119,0,0,0,0,0,0,28.5237,0,0.000416047,0.000416047,0.000416047
22,86.8708,0,37.7674,0,0,0,0,0,0,27.0876,0,0.00042188,0.00042188,0.00042188
23,90.8826,0,37.3293,0,0,0,0,0,0,27.0876,0,0.000426393,0.000426393,0.000426393
24,93.8621,0,37.3724,0,0,0,0,0,0,26.2294,0,0.000429586,0.000429586,0.000429586
25,97.4419,0,36.7845,0,0,0,0,0,0,26.2294,0,0.000431459,0.000431459,0.000431459
26,101.094,0,36.7473,0,0,0,0,0,0,25.3726,0,0.000432012,0.000432012,0.000432012
27,104.701,0,36.5272,0,0,0,0,0,0,25.3726,0,0.000431246,0.000431246,0.000431246
28,108.419,0,36.323,0,0,0,0,0,0,24.4448,0,0.000429159,0.000429159,0.000429159
29,112.082,0,36.0048,0,0,0,0,0,0,24.4448,0,0.000425753,0.000425753,0.000425753
30,115.677,0,36.0463,0,0,0,0,0,0,24.4448,0,0.000421027,0.000421027,0.000421027
31,119.382,0,35.7006,0,0,0,0,0,0,23.7538,0,0.000414981,0.000414981,0.000414981
32,125.381,0,35.4094,0,0,0,0,0,0,23.7538,0,0.000407615,0.000407615,0.000407615
33,128.316,0,35.4771,0,0,0,0,0,0,23.7463,0,0.000398929,0.000398929,0.000398929
34,131.827,0,35.0981,0,0,0,0,0,0,23.7463,0,0.000385073,0.000385073,0.000385073
35,135.56,0,35.0717,0,0,0,0,0,0,23.7463,0,0.000363075,0.000363075,0.000363075
36,139.047,0,35.1057,0,0,0,0,0,0,22.8022,0,0.000341077,0.000341077,0.000341077
37,142.104,0,34.7187,0,0,0,0,0,0,22.8022,0,0.000319079,0.000319079,0.000319079
38,146.157,0,34.9373,0,0,0,0,0,0,22.8022,0,0.000297081,0.000297081,0.000297081
39,149.963,0,34.5647,0,0,0,0,0,0,22.8298,0,0.000275084,0.000275084,0.000275084
40,153.513,0,34.4166,0,0,0,0,0,0,22.8298,0,0.000253086,0.000253086,0.000253086
41,157.128,0,34.7292,0,0,0,0,0,0,22.6645,0,0.000231088,0.000231088,0.000231088
42,160.697,0,34.5726,0,0,0,0,0,0,22.6645,0,0.00020909,0.00020909,0.00020909
43,166.125,0,34.3046,0,0,0,0,0,0,22.6645,0,0.000187092,0.000187092,0.000187092
44,170.784,0,34.4506,0,0,0,0,0,0,22.6754,0,0.000165095,0.000165095,0.000165095
45,174.509,0,34.1073,0,0,0,0,0,0,22.6754,0,0.000143097,0.000143097,0.000143097
46,177.672,0,34.0292,0,0,0,0,0,0,22.6754,0,0.000121099,0.000121099,0.000121099
47,181.297,0,34.1462,0,0,0,0,0,0,22.8401,0,9.91012e-05,9.91012e-05,9.91012e-05
48,185.393,0,34.13,0,0,0,0,0,0,22.8401,0,7.71034e-05,7.71034e-05,7.71034e-05
49,191.157,0,34.0675,0,0,0,0,0,0,23.0419,0,5.51056e-05,5.51056e-05,5.51056e-05
50,197.018,0,33.9533,0,0,0,0,0,0,23.0419,0,3.31078e-05,3.31078e-05,3.31078e-05
